parent_id,child_id
1,3
2,3
1,5
2,5
1,7
2,7
5,9
6,9
5,11
6,11
7,12
8,12
7,14
8,14
7,15
8,15
3,16
4,16
3,18
4,18
3,19
4,19
3,20
4,20
12,22
13,22
12,24
13,24
12,26
13,26
12,28
13,28
16,30
17,30
16,31
17,31
9,32
10,32
9,33
10,33
9,35
10,35
9,37
10,37
20,39
21,39
20,40
21,40
20,42
21,42
20,44
21,44
20,46
21,46
35,48
36,48
35,50
36,50
35,52
36,52
35,53
36,53
37,54
38,54
37,56
38,56
37,58
38,58
37,60
38,60
26,61
27,61
26,62
27,62
26,64
27,64
26,66
27,66
26,67
27,67
24,68
25,68
24,70
25,70
33,71
34,71
33,73
34,73
33,75
34,75
33,76
34,76
42,77
43,77
42,79
43,79
46,80
47,80
22,82
23,82
28,84
29,84
28,85
29,85
28,87
29,87
40,88
41,88
44,90
45,90
44,91
45,91
44,93
45,93
44,95
45,95
88,96
89,96
88,98
89,98
88,100
89,100
88,102
89,102
62,103
63,103
62,105
63,105
62,107
63,107
62,108
63,108
77,109
78,109
77,111
78,111
77,112
78,112
54,114
55,114
54,116
55,116
54,117
55,117
54,119
55,119
71,121
72,121
71,123
72,123
71,124
72,124
71,126
72,126
71,128
72,128
71,129
72,129
71,131
72,131
80,132
81,132
80,133
81,133
80,135
81,135
80,136
81,136
80,138
81,138
68,140
69,140
68,142
69,142
68,143
69,143
68,145
69,145
68,146
69,146
73,147
74,147
73,149
74,149
48,151
49,151
85,153
86,153
85,154
86,154
85,155
86,155
85,157
86,157
85,159
86,159
85,161
86,161
56,163
57,163
56,164
57,164
56,166
57,166
56,167
57,167
56,168
57,168
56,169
57,169
56,171
57,171
56,172
57,172
82,174
83,174
82,176
83,176
82,177
83,177
82,179
83,179
82,180
83,180
82,182
83,182
82,184
83,184
91,185
92,185
91,187
92,187
91,188
92,188
91,190
92,190
50,192
51,192
50,194
51,194
50,195
51,195
50,197
51,197
50,198
51,198
93,200
94,200
93,201
94,201
58,202
59,202
58,203
59,203
58,205
59,205
58,207
59,207
58,208
59,208
64,209
65,209
64,211
65,211
96,213
97,213
96,215
97,215
96,216
97,216
109,217
110,217
109,219
110,219
109,220
110,220
169,222
170,222
169,223
170,223
169,225
170,225
169,227
170,227
117,228
118,228
117,230
118,230
133,231
134,231
133,232
134,232
98,234
99,234
98,236
99,236
98,238
99,238
121,239
122,239
205,240
206,240
205,242
206,242
205,244
206,244
205,246
206,246
205,248
206,248
182,249
183,249
182,250
183,250
182,252
183,252
182,254
183,254
195,255
196,255
161,257
162,257
161,258
162,258
126,259
127,259
126,261
127,261
126,263
127,263
126,264
127,264
126,265
127,265
126,267
127,267
126,268
127,268
190,269
191,269
190,270
191,270
155,272
156,272
155,273
156,273
155,274
156,274
155,276
156,276
155,278
156,278
151,279
152,279
151,281
152,281
151,283
152,283
151,284
152,284
140,285
141,285
140,287
141,287
140,288
141,288
124,289
125,289
124,291
125,291
124,292
125,292
143,293
144,293
143,295
144,295
143,296
144,296
143,297
144,297
143,299
144,299
119,301
120,301
119,302
120,302
119,304
120,304
119,306
120,306
164,308
165,308
172,310
173,310
198,312
199,312
198,314
199,314
149,316
150,316
149,317
150,317
149,318
150,318
149,320
150,320
211,321
212,321
211,323
212,323
211,325
212,325
211,327
212,327
211,329
212,329
138,331
139,331
138,332
139,332
138,334
139,334
138,336
139,336
100,338
101,338
100,339
101,339
100,340
101,340
105,342
106,342
105,344
106,344
105,346
106,346
105,348
106,348
105,350
106,350
147,351
148,351
147,353
148,353
147,354
148,354
147,356
148,356
147,358
148,358
209,359
210,359
209,360
210,360
209,361
210,361
209,363
210,363
209,365
210,365
209,366
210,366
209,367
210,367
185,368
186,368
185,370
186,370
129,371
130,371
129,373
130,373
129,375
130,375
129,377
130,377
180,379
181,379
180,381
181,381
180,382
181,382
180,383
181,383
180,384
181,384
180,386
181,386
192,387
193,387
159,388
160,388
159,389
160,389
103,391
104,391
103,392
104,392
112,393
113,393
112,395
113,395
112,397
113,397
112,399
113,399
112,401
113,401
177,403
178,403
177,405
178,405
174,406
175,406
174,407
175,407
174,409
175,409
174,410
175,410
174,411
175,411
203,413
204,413
203,414
204,414
157,416
158,416
157,417
158,417
157,418
158,418
157,419
158,419
114,420
115,420
114,422
115,422
114,424
115,424
114,425
115,425
114,426
115,426
114,428
115,428
114,429
115,429
114,431
115,431
188,432
189,432
188,433
189,433
188,435
189,435
188,436
189,436
136,438
137,438
240,440
241,440
240,442
241,442
240,444
241,444
240,445
241,445
240,446
241,446
240,448
241,448
240,449
241,449
332,451
333,451
332,453
333,453
332,455
333,455
332,457
333,457
261,459
262,459
261,461
262,461
261,463
262,463
261,464
262,464
261,466
262,466
261,468
262,468
354,470
355,470
354,471
355,471
354,473
355,473
354,474
355,474
354,476
355,476
236,478
237,478
236,479
237,479
236,480
237,480
236,481
237,481
236,483
237,483
